"intersection_id","tollgate_id","time_window","avg_travel_time","sum_travel_time"
"B","3","[2016-07-19 00:00:00,2016-07-19 00:20:00)","70.85","70.85"
"B","3","[2016-07-19 00:20:00,2016-07-19 00:40:00)","148.79","148.79"
"B","3","[2016-07-19 01:40:00,2016-07-19 02:00:00)","93.72","187.44"
"B","3","[2016-07-19 02:00:00,2016-07-19 02:20:00)","67.81","67.81"
"B","3","[2016-07-19 02:40:00,2016-07-19 03:00:00)","167.55","335.09"
"B","3","[2016-07-19 03:40:00,2016-07-19 04:00:00)","98.49","393.96"
"B","3","[2016-07-19 04:00:00,2016-07-19 04:20:00)","96.67","193.34"
"B","3","[2016-07-19 04:20:00,2016-07-19 04:40:00)","53.15","53.15"
"B","3","[2016-07-19 04:40:00,2016-07-19 05:00:00)","55.25","110.49"
"B","3","[2016-07-19 05:00:00,2016-07-19 05:20:00)","209.66","209.66"
"B","3","[2016-07-19 06:00:00,2016-07-19 06:20:00)","145.94","145.94"
"B","3","[2016-07-19 06:20:00,2016-07-19 06:40:00)","127.35","127.35"
"B","3","[2016-07-19 06:40:00,2016-07-19 07:00:00)","97.2","97.2"
"B","3","[2016-07-19 07:00:00,2016-07-19 07:20:00)","118.43","592.14"
"B","3","[2016-07-19 07:20:00,2016-07-19 07:40:00)","82.63","165.26"
"B","3","[2016-07-19 07:40:00,2016-07-19 08:00:00)","110.5","110.5"
"B","3","[2016-07-19 08:00:00,2016-07-19 08:20:00)","125.76","377.28"
"B","3","[2016-07-19 08:20:00,2016-07-19 08:40:00)","141.33","706.67"
"B","3","[2016-07-19 08:40:00,2016-07-19 09:00:00)","176.08","1232.54"
"B","3","[2016-07-19 09:00:00,2016-07-19 09:20:00)","165.29","495.87"
"B","3","[2016-07-19 09:20:00,2016-07-19 09:40:00)","127.38","509.53"
"B","3","[2016-07-19 09:40:00,2016-07-19 10:00:00)","117.83","471.31"
"B","3","[2016-07-19 10:00:00,2016-07-19 10:20:00)","98.92","593.53"
"B","3","[2016-07-19 10:20:00,2016-07-19 10:40:00)","113.0","677.99"
"B","3","[2016-07-19 10:40:00,2016-07-19 11:00:00)","98.15","98.15"
"B","3","[2016-07-19 11:00:00,2016-07-19 11:20:00)","95.98","287.95"
"B","3","[2016-07-19 11:20:00,2016-07-19 11:40:00)","84.36","337.45"
"B","3","[2016-07-19 11:40:00,2016-07-19 12:00:00)","96.54","289.62"
"B","3","[2016-07-19 12:00:00,2016-07-19 12:20:00)","144.87","144.87"
"B","3","[2016-07-19 12:20:00,2016-07-19 12:40:00)","136.36","136.36"
"B","3","[2016-07-19 12:40:00,2016-07-19 13:00:00)","129.5","388.51"
"B","3","[2016-07-19 13:00:00,2016-07-19 13:20:00)","116.47","698.82"
"B","3","[2016-07-19 13:20:00,2016-07-19 13:40:00)","119.37","716.21"
"B","3","[2016-07-19 13:40:00,2016-07-19 14:00:00)","176.65","176.65"
"B","3","[2016-07-19 14:00:00,2016-07-19 14:20:00)","159.46","318.93"
"B","3","[2016-07-19 14:20:00,2016-07-19 14:40:00)","129.48","776.87"
"B","3","[2016-07-19 14:40:00,2016-07-19 15:00:00)","120.24","1202.41"
"B","3","[2016-07-19 15:00:00,2016-07-19 15:20:00)","115.29","807.04"
"B","3","[2016-07-19 15:20:00,2016-07-19 15:40:00)","129.47","517.89"
"B","3","[2016-07-19 15:40:00,2016-07-19 16:00:00)","120.76","724.54"
"B","3","[2016-07-19 16:00:00,2016-07-19 16:20:00)","116.07","928.55"
"B","3","[2016-07-19 16:20:00,2016-07-19 16:40:00)","152.5","914.99"
"B","3","[2016-07-19 16:40:00,2016-07-19 17:00:00)","101.66","609.98"
"B","3","[2016-07-19 17:00:00,2016-07-19 17:20:00)","139.36","557.45"
"B","3","[2016-07-19 17:20:00,2016-07-19 17:40:00)","103.67","414.66"
