volume,time,tollgate_direction
140,2016-09-19 00:00:00,T1D1
13,2016-09-19 00:00:00,T1D0
181,2016-09-19 00:00:00,T3D1
17,2016-09-19 00:00:00,T3D0
2,2016-09-19 00:00:00,T2D0
56,2016-09-19 00:20:00,T1D1
6,2016-09-19 00:20:00,T1D0
112,2016-09-19 00:20:00,T3D1
16,2016-09-19 00:20:00,T3D0
31,2016-09-19 00:40:00,T1D1
9,2016-09-19 00:40:00,T1D0
93,2016-09-19 00:40:00,T3D1
16,2016-09-19 00:40:00,T3D0
4,2016-09-19 01:00:00,T1D1
10,2016-09-19 01:00:00,T1D0
4,2016-09-19 01:00:00,T3D1
17,2016-09-19 01:00:00,T3D0
1,2016-09-19 01:00:00,T2D0
14,2016-09-19 01:20:00,T1D1
14,2016-09-19 01:20:00,T1D0
5,2016-09-19 01:20:00,T3D1
17,2016-09-19 01:20:00,T3D0
7,2016-09-19 01:40:00,T1D1
10,2016-09-19 01:40:00,T1D0
4,2016-09-19 01:40:00,T3D1
11,2016-09-19 01:40:00,T3D0
2,2016-09-19 01:40:00,T2D0
7,2016-09-19 02:00:00,T1D1
7,2016-09-19 02:00:00,T1D0
5,2016-09-19 02:00:00,T3D1
11,2016-09-19 02:00:00,T3D0
7,2016-09-19 02:20:00,T1D1
10,2016-09-19 02:20:00,T1D0
4,2016-09-19 02:20:00,T3D1
14,2016-09-19 02:20:00,T3D0
10,2016-09-19 02:40:00,T1D1
6,2016-09-19 02:40:00,T1D0
18,2016-09-19 02:40:00,T3D0
10,2016-09-19 03:00:00,T1D1
9,2016-09-19 03:00:00,T1D0
5,2016-09-19 03:00:00,T3D1
10,2016-09-19 03:00:00,T3D0
14,2016-09-19 03:20:00,T1D1
4,2016-09-19 03:20:00,T1D0
3,2016-09-19 03:20:00,T3D1
10,2016-09-19 03:20:00,T3D0
20,2016-09-19 03:40:00,T1D1
9,2016-09-19 03:40:00,T1D0
10,2016-09-19 03:40:00,T3D1
9,2016-09-19 03:40:00,T3D0
18,2016-09-19 04:00:00,T1D1
10,2016-09-19 04:00:00,T1D0
4,2016-09-19 04:00:00,T3D1
11,2016-09-19 04:00:00,T3D0
17,2016-09-19 04:20:00,T1D1
13,2016-09-19 04:20:00,T1D0
7,2016-09-19 04:20:00,T3D1
8,2016-09-19 04:20:00,T3D0
23,2016-09-19 04:40:00,T1D1
12,2016-09-19 04:40:00,T1D0
3,2016-09-19 04:40:00,T3D1
10,2016-09-19 04:40:00,T3D0
28,2016-09-19 05:00:00,T1D1
2,2016-09-19 05:00:00,T1D0
11,2016-09-19 05:00:00,T3D1
9,2016-09-19 05:00:00,T3D0
14,2016-09-19 05:00:00,T2D0
24,2016-09-19 05:20:00,T1D1
8,2016-09-19 05:20:00,T1D0
7,2016-09-19 05:20:00,T3D1
14,2016-09-19 05:20:00,T3D0
12,2016-09-19 05:20:00,T2D0
34,2016-09-19 05:40:00,T1D1
13,2016-09-19 05:40:00,T1D0
