,T1D0,T1D1,T2D0,T3D0,T3D1,HeavyRain,LightRain,Rain,Sunny,DayOfWeek,BeforeNationalDay,NationalDayFront(1-4),NationalDayTail(5-7),Weekend,WorkingDay,WorkingWeekend
2016-09-19 00:00:00,13.0,140.0,2.0,17.0,181.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 00:20:00,6.0,56.0,0.0,16.0,112.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 00:40:00,9.0,31.0,0.0,16.0,93.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 01:00:00,10.0,4.0,1.0,17.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 01:20:00,14.0,14.0,0.0,17.0,5.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 01:40:00,10.0,7.0,2.0,11.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 02:00:00,7.0,7.0,0.0,11.0,5.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 02:20:00,10.0,7.0,0.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 02:40:00,6.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 03:00:00,9.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 03:20:00,4.0,14.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 03:40:00,9.0,20.0,0.0,9.0,10.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 04:00:00,10.0,18.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 04:20:00,13.0,17.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 04:40:00,12.0,23.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 05:00:00,2.0,28.0,14.0,9.0,11.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 05:20:00,8.0,24.0,12.0,14.0,7.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 05:40:00,13.0,34.0,21.0,27.0,13.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 06:00:00,8.0,39.0,30.0,39.0,30.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 06:20:00,13.0,57.0,36.0,58.0,38.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 06:40:00,32.0,72.0,37.0,71.0,65.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 07:00:00,39.0,70.0,84.0,127.0,67.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 07:20:00,31.0,83.0,80.0,123.0,71.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 07:40:00,43.0,118.0,97.0,153.0,103.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 08:00:00,46.0,123.0,129.0,161.0,118.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 08:20:00,56.0,119.0,122.0,167.0,168.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 08:40:00,41.0,116.0,98.0,138.0,161.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2016-09-19 09:00:00,50.0,120.0,89.0,174.0,145.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
2016-09-19 09:20:00,49.0,151.0,78.0,144.0,125.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0
