tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.660000000000004
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,54.86
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.120000000000005
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,51.0
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,50.83
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,49.559999999999995
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,109.74999999999999
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,107.07000000000001
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,111.6
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,120.08
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,113.91000000000001
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,111.41
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,113.52000000000001
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,109.81
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,116.08500000000001
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,109.19000000000001
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,91.16499999999999
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,80.285
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,175.81
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,187.31
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,180.11999999999998
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,163.01000000000002
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,146.53
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,143.51999999999998
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,118.10000000000001
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,120.94
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,138.13
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,122.84
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,117.33000000000001
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,101.63000000000001
