,,tollgate_id,time_window,direction,volume
2016-10-18,08:00:00,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.660000000000004
2016-10-18,08:20:00,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,54.86
2016-10-18,08:40:00,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.120000000000005
2016-10-18,09:00:00,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,51.0
2016-10-18,09:20:00,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,50.83
2016-10-18,09:40:00,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,49.559999999999995
2016-10-18,08:00:00,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,109.74999999999999
2016-10-18,08:20:00,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,107.07000000000001
2016-10-18,08:40:00,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,111.6
2016-10-18,09:00:00,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,120.08
2016-10-18,09:20:00,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,113.91000000000001
2016-10-18,09:40:00,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,111.41
2016-10-18,08:00:00,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,113.52000000000001
2016-10-18,08:20:00,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,109.81
2016-10-18,08:40:00,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,116.08500000000001
2016-10-18,09:00:00,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,109.19000000000001
2016-10-18,09:20:00,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,91.16499999999999
2016-10-18,09:40:00,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,80.285
2016-10-18,08:00:00,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,175.81
2016-10-18,08:20:00,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,187.31
2016-10-18,08:40:00,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,180.11999999999998
2016-10-18,09:00:00,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,163.01000000000002
2016-10-18,09:20:00,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,146.53
2016-10-18,09:40:00,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,143.51999999999998
2016-10-18,08:00:00,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,118.10000000000001
2016-10-18,08:20:00,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,120.94
2016-10-18,08:40:00,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,138.13
2016-10-18,09:00:00,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,122.84
2016-10-18,09:20:00,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,117.33000000000001
2016-10-18,09:40:00,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,101.63000000000001
2016-10-19,08:00:00,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.410000000000004
2016-10-19,08:20:00,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,51.26
2016-10-19,08:40:00,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,53.395
2016-10-19,09:00:00,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,49.084999999999994
2016-10-19,09:20:00,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,48.93
2016-10-19,09:40:00,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,44.599999999999994
2016-10-19,08:00:00,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,121.30000000000001
2016-10-19,08:20:00,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,120.13000000000001
2016-10-19,08:40:00,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,123.06
2016-10-19,09:00:00,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,127.61
2016-10-19,09:20:00,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,115.49
2016-10-19,09:40:00,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,106.14
2016-10-19,08:00:00,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,116.86
2016-10-19,08:20:00,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,113.02
2016-10-19,08:40:00,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,122.70000000000002
2016-10-19,09:00:00,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,113.42999999999999
2016-10-19,09:20:00,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,94.91
2016-10-19,09:40:00,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,90.88000000000001
2016-10-19,08:00:00,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,164.48
2016-10-19,08:20:00,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,168.71
2016-10-19,08:40:00,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,159.29000000000002
2016-10-19,09:00:00,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,152.1
2016-10-19,09:20:00,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,137.68
2016-10-19,09:40:00,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,129.82999999999998
2016-10-19,08:00:00,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,119.50999999999999
2016-10-19,08:20:00,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,125.44999999999999
2016-10-19,08:40:00,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,143.75
2016-10-19,09:00:00,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,125.96
2016-10-19,09:20:00,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,122.08000000000001
2016-10-19,09:40:00,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,103.08000000000001
2016-10-20,08:00:00,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,44.339999999999996
2016-10-20,08:20:00,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,53.709999999999994
2016-10-20,08:40:00,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,55.724999999999994
2016-10-20,09:00:00,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,51.24
2016-10-20,09:20:00,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,58.425000000000004
2016-10-20,09:40:00,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,53.495
2016-10-20,08:00:00,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,121.88
2016-10-20,08:20:00,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,118.9
2016-10-20,08:40:00,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,126.02000000000001
2016-10-20,09:00:00,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,121.0
2016-10-20,09:20:00,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,117.75999999999999
2016-10-20,09:40:00,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,105.53
2016-10-20,08:00:00,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,115.99
2016-10-20,08:20:00,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,107.48
2016-10-20,08:40:00,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,118.6
2016-10-20,09:00:00,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,115.94000000000001
2016-10-20,09:20:00,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,94.36999999999999
2016-10-20,09:40:00,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,86.66
2016-10-20,08:00:00,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,142.88
2016-10-20,08:20:00,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,146.62
2016-10-20,08:40:00,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,149.11999999999998
2016-10-20,09:00:00,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,141.57
2016-10-20,09:20:00,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,130.84
2016-10-20,09:40:00,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,120.92999999999999
2016-10-20,08:00:00,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,108.9
2016-10-20,08:20:00,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,117.01
2016-10-20,08:40:00,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,125.6
2016-10-20,09:00:00,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,115.06
2016-10-20,09:20:00,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,115.42000000000002
2016-10-20,09:40:00,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,98.76
2016-10-21,08:00:00,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,43.79
2016-10-21,08:20:00,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,50.86
2016-10-21,08:40:00,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,48.675
2016-10-21,09:00:00,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.355
2016-10-21,09:20:00,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,50.12
2016-10-21,09:40:00,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,46.15
2016-10-21,08:00:00,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,115.36000000000001
2016-10-21,08:20:00,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,113.65000000000002
2016-10-21,08:40:00,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,117.71
2016-10-21,09:00:00,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,120.13
2016-10-21,09:20:00,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,105.48
2016-10-21,09:40:00,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",1,98.09000000000002
2016-10-21,08:00:00,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,103.01
2016-10-21,08:20:00,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,107.97999999999999
2016-10-21,08:40:00,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,112.28500000000001
2016-10-21,09:00:00,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,106.78
2016-10-21,09:20:00,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,97.88499999999999
2016-10-21,09:40:00,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,88.825
2016-10-21,08:00:00,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,153.76000000000002
2016-10-21,08:20:00,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,152.17
2016-10-21,08:40:00,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,147.70999999999998
2016-10-21,09:00:00,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,145.97000000000003
2016-10-21,09:20:00,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,129.32
2016-10-21,09:40:00,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,122.57
2016-10-21,08:00:00,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,103.13000000000001
2016-10-21,08:20:00,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,114.03999999999999
2016-10-21,08:40:00,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,131.13
2016-10-21,09:00:00,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,117.14000000000001
2016-10-21,09:20:00,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,110.50999999999999
2016-10-21,09:40:00,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",1,101.6
2016-10-22,08:00:00,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,35.9
2016-10-22,08:20:00,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,44.33
2016-10-22,08:40:00,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,49.15
2016-10-22,09:00:00,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,46.425000000000004
2016-10-22,09:20:00,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,44.345
2016-10-22,09:40:00,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,45.864999999999995
2016-10-22,08:00:00,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,83.35000000000001
2016-10-22,08:20:00,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,86.36
2016-10-22,08:40:00,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,98.22999999999999
2016-10-22,09:00:00,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,99.7
2016-10-22,09:20:00,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,101.12
2016-10-22,09:40:00,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",1,100.08
2016-10-22,08:00:00,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,57.099999999999994
2016-10-22,08:20:00,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,65.74999999999999
2016-10-22,08:40:00,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,64.18
2016-10-22,09:00:00,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,65.15
2016-10-22,09:20:00,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,60.830000000000005
2016-10-22,09:40:00,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,60.300000000000004
2016-10-22,08:00:00,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,112.78000000000002
2016-10-22,08:20:00,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,114.74000000000001
2016-10-22,08:40:00,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,133.42
2016-10-22,09:00:00,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,119.79
2016-10-22,09:20:00,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,113.97
2016-10-22,09:40:00,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,104.89999999999999
2016-10-22,08:00:00,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,65.8
2016-10-22,08:20:00,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,67.88
2016-10-22,08:40:00,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,74.765
2016-10-22,09:00:00,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,70.47500000000001
2016-10-22,09:20:00,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,59.36
2016-10-22,09:40:00,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",1,57.3
2016-10-23,08:00:00,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,30.380000000000003
2016-10-23,08:20:00,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,36.47999999999999
2016-10-23,08:40:00,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,39.79
2016-10-23,09:00:00,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,38.510000000000005
2016-10-23,09:20:00,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,36.540000000000006
2016-10-23,09:40:00,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,36.43
2016-10-23,08:00:00,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,82.6
2016-10-23,08:20:00,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,86.84
2016-10-23,08:40:00,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,92.5
2016-10-23,09:00:00,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,89.57000000000001
2016-10-23,09:20:00,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,86.36
2016-10-23,09:40:00,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",1,89.96000000000001
2016-10-23,08:00:00,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,48.24
2016-10-23,08:20:00,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,57.019999999999996
2016-10-23,08:40:00,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,53.605
2016-10-23,09:00:00,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,50.435
2016-10-23,09:20:00,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,52.5
2016-10-23,09:40:00,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,48.519999999999996
2016-10-23,08:00:00,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,89.07999999999998
2016-10-23,08:20:00,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,94.88000000000001
2016-10-23,08:40:00,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,105.77
2016-10-23,09:00:00,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,104.42999999999999
2016-10-23,09:20:00,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,97.89000000000001
2016-10-23,09:40:00,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,93.30999999999999
2016-10-23,08:00:00,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,57.800000000000004
2016-10-23,08:20:00,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,61.87
2016-10-23,08:40:00,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,67.66
2016-10-23,09:00:00,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,61.07
2016-10-23,09:20:00,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,57.9
2016-10-23,09:40:00,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",1,51.900000000000006
2016-10-24,08:00:00,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.82
2016-10-24,08:20:00,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,51.14
2016-10-24,08:40:00,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,51.410000000000004
2016-10-24,09:00:00,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,50.12
2016-10-24,09:20:00,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,48.379999999999995
2016-10-24,09:40:00,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,48.8
2016-10-24,08:00:00,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,124.61
2016-10-24,08:20:00,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,137.57999999999998
2016-10-24,08:40:00,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,131.51000000000002
2016-10-24,09:00:00,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,132.82999999999998
2016-10-24,09:20:00,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,127.11999999999999
2016-10-24,09:40:00,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",1,126.4
2016-10-24,08:00:00,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,123.52
2016-10-24,08:20:00,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,122.61
2016-10-24,08:40:00,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,125.07
2016-10-24,09:00:00,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,118.14
2016-10-24,09:20:00,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,109.14
2016-10-24,09:40:00,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,95.81
2016-10-24,08:00:00,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,182.26999999999998
2016-10-24,08:20:00,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,199.61
2016-10-24,08:40:00,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,189.25
2016-10-24,09:00:00,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,176.67000000000002
2016-10-24,09:20:00,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,185.51
2016-10-24,09:40:00,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,161.01999999999998
2016-10-24,08:00:00,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,133.23
2016-10-24,08:20:00,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,137.93
2016-10-24,08:40:00,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,148.69
2016-10-24,09:00:00,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,140.96
2016-10-24,09:20:00,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,112.73
2016-10-24,09:40:00,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",1,102.41999999999999
2016-10-18,17:00:00,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,44.77000000000001
2016-10-18,17:20:00,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.705
2016-10-18,17:40:00,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,34.209999999999994
2016-10-18,18:00:00,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,28.685
2016-10-18,18:20:00,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,29.929999999999996
2016-10-18,18:40:00,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,22.34
2016-10-18,17:00:00,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,100.82999999999998
2016-10-18,17:20:00,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,111.03
2016-10-18,17:40:00,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,105.00000000000001
2016-10-18,18:00:00,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,71.81
2016-10-18,18:20:00,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,69.39999999999999
2016-10-18,18:40:00,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,60.96
2016-10-18,17:00:00,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,61.910000000000004
2016-10-18,17:20:00,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,50.790000000000006
2016-10-18,17:40:00,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,48.330000000000005
2016-10-18,18:00:00,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,46.46
2016-10-18,18:20:00,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,40.27
2016-10-18,18:40:00,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,35.25
2016-10-18,17:00:00,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,120.13
2016-10-18,17:20:00,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,119.05
2016-10-18,17:40:00,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,110.10000000000001
2016-10-18,18:00:00,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,81.78999999999999
2016-10-18,18:20:00,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,75.52
2016-10-18,18:40:00,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,66.93
2016-10-18,17:00:00,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,86.41999999999999
2016-10-18,17:20:00,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,90.28999999999999
2016-10-18,17:40:00,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,88.97999999999999
2016-10-18,18:00:00,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,70.64999999999999
2016-10-18,18:20:00,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,73.7
2016-10-18,18:40:00,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,66.03
2016-10-19,17:00:00,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,43.4
2016-10-19,17:20:00,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,40.515
2016-10-19,17:40:00,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,34.23
2016-10-19,18:00:00,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,29.944999999999997
2016-10-19,18:20:00,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,26.779999999999998
2016-10-19,18:40:00,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,21.52
2016-10-19,17:00:00,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,85.46
2016-10-19,17:20:00,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,89.97
2016-10-19,17:40:00,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,95.01
2016-10-19,18:00:00,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,66.93
2016-10-19,18:20:00,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,68.28
2016-10-19,18:40:00,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,60.1
2016-10-19,17:00:00,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,56.050000000000004
2016-10-19,17:20:00,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,54.370000000000005
2016-10-19,17:40:00,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,45.53
2016-10-19,18:00:00,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,37.00000000000001
2016-10-19,18:20:00,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,36.66
2016-10-19,18:40:00,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,33.18
2016-10-19,17:00:00,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,105.8
2016-10-19,17:20:00,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,103.77000000000001
2016-10-19,17:40:00,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,99.41000000000001
2016-10-19,18:00:00,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,75.34
